gender,department,jobtitle,count
Female,Accounting,"Accountant I",27
Female,Accounting,"Accountant II",42
Female,Accounting,"Accountant III",35
Female,Accounting,"Accountant IV",32
Female,Accounting,"Accounting Assistant I",36
Female,Accounting,"Accounting Assistant II",33
Female,Accounting,"Accounting Assistant III",29
Female,Accounting,"Accounting Assistant IV",43
Female,Accounting,Actuary,11
Female,Accounting,"Administrative Assistant I",4
Female,Accounting,"Administrative Assistant II",3
Female,Accounting,"Administrative Assistant III",5
Female,Accounting,"Administrative Assistant IV",2
Female,Accounting,"Administrative Officer",11
Female,Accounting,"Budget/Accounting Analyst I",70
Female,Accounting,"Budget/Accounting Analyst II",53
Female,Accounting,"Budget/Accounting Analyst III",73
Female,Accounting,"Budget/Accounting Analyst IV",75
Female,Accounting,"Cost Accountant",117
Female,Accounting,"Financial Advisor",13
Female,Accounting,"Financial Analyst",32
Female,Accounting,"Payment Adjustment Coordinator",8
Female,Accounting,"Senior Cost Accountant",131
Female,Accounting,"Senior Financial Analyst",11
Female,Accounting,"Staff Accountant I",171
Female,Accounting,"Staff Accountant II",34
Female,Accounting,"Staff Accountant III",36
Female,Accounting,"Staff Accountant IV",54
Female,Accounting,"Structural Engineer",12
Female,Accounting,"Tax Accountant",118
Female,Accounting,"VP Accounting",32
Female,Auditing,"Internal Auditor",22
Female,"Business Development","Business Analyst",244
Female,"Business Development","Business Development Manager",1
Female,"Business Development","Human Resources Analyst II",1
Female,"Business Development","Research Assistant I",107
Female,"Business Development","Research Assistant II",307
Female,"Business Development","Research Assistant III",4
Female,Engineering,"Administrative Assistant I",3
Female,Engineering,"Administrative Assistant II",2
Female,Engineering,"Administrative Assistant III",2
Female,Engineering,"Administrative Officer",13
Female,Engineering,"Analog Circuit Design manager",18
Female,Engineering,"Analyst Programmer",153
Female,Engineering,"Assistant Manager",8
Female,Engineering,"Automation Specialist I",4
Female,Engineering,"Automation Specialist II",8
Female,Engineering,"Automation Specialist III",3
Female,Engineering,"Automation Specialist IV",4
Female,Engineering,"Business Analyst",23
Female,Engineering,"Business Systems Development Analyst",137
Female,Engineering,"Chief Design Engineer",29
Female,Engineering,"Computer Systems Analyst I",39
Female,Engineering,"Computer Systems Analyst II",40
Female,Engineering,"Computer Systems Analyst III",31
Female,Engineering,"Computer Systems Analyst IV",26
Female,Engineering,"Data Coordiator",145
Female,Engineering,"Data Visualization Specialist",175
Female,Engineering,"Database Administrator I",33
Female,Engineering,"Database Administrator II",34
Female,Engineering,"Database Administrator III",39
Female,Engineering,"Database Administrator IV",38
Female,Engineering,"Design Engineer",12
Female,Engineering,"Developer I",43
Female,Engineering,"Developer II",28
Female,Engineering,"Developer III",32
Female,Engineering,"Developer IV",34
Female,Engineering,"Electrical Engineer",14
Female,Engineering,"Engineer I",4
Female,Engineering,"Engineer II",1
Female,Engineering,"Information Systems Manager",15
Female,Engineering,"Mechanical Systems Engineer",16
Female,Engineering,"Product Engineer",13
Female,Engineering,"Programmer Analyst I",39
Female,Engineering,"Programmer Analyst II",39
Female,Engineering,"Programmer Analyst III",31
Female,Engineering,"Programmer Analyst IV",25
Female,Engineering,"Programmer I",34
Female,Engineering,"Programmer II",30
Female,Engineering,"Programmer III",35
Female,Engineering,"Programmer IV",23
Female,Engineering,"Quality Control Specialist",15
Female,Engineering,"Quality Engineer",14
Female,Engineering,"Recruiting Manager",12
Female,Engineering,"Research Assistant I",16
Female,Engineering,"Research Assistant II",8
Female,Engineering,"Research Assistant III",4
Female,Engineering,"Research Assistant IV",2
Female,Engineering,"Research Associate",7
Female,Engineering,"Senior Developer",163
Female,Engineering,"Senior Financial Analyst",14
Female,Engineering,"Senior Quality Engineer",15
Female,Engineering,"Software Consultant",128
Female,Engineering,"Software Engineer I",171
Female,Engineering,"Software Engineer II",32
Female,Engineering,"Software Engineer III",45
Female,Engineering,"Software Engineer IV",40
Female,Engineering,"Software Test Engineer I",34
Female,Engineering,"Software Test Engineer II",26
Female,Engineering,"Software Test Engineer III",37
Female,Engineering,"Software Test Engineer IV",34
Female,Engineering,"Staff Scientist",16
Female,Engineering,"Statistician I",3
Female,Engineering,"Statistician II",6
Female,Engineering,"Statistician III",4
Female,Engineering,"Statistician IV",2
Female,Engineering,"Structural Analysis Engineer",12
Female,Engineering,"Structural Engineer",11
Female,Engineering,"Systems Administrator I",146
Female,Engineering,"Systems Administrator II",30
Female,Engineering,"Systems Administrator III",32
Female,Engineering,"Systems Administrator IV",32
Female,Engineering,"VP Quality Control",11
Female,Engineering,"Web Designer I",9
Female,Engineering,"Web Designer III",4
Female,Engineering,"Web Designer IV",2
Female,Engineering,"Web Developer I",36
Female,Engineering,"Web Developer II",29
Female,Engineering,"Web Developer III",27
Female,Engineering,"Web Developer IV",28
Female,"Human Resources","Compensation Analyst",13
Female,"Human Resources","HR Manager",82
Female,"Human Resources","Human Resources Analyst",162
Female,"Human Resources","Human Resources Analyst II",271
Female,"Human Resources","Human Resources Assistant I",4
Female,"Human Resources","Human Resources Assistant II",5
Female,"Human Resources","Human Resources Assistant III",6
Female,"Human Resources","Human Resources Assistant IV",5
Female,"Human Resources","Human Resources Manager",30
Female,"Human Resources",Recruiter,101
Female,"Human Resources","Senior Recruiter",85
Female,Legal,"Administrative Assistant",17
Female,Legal,Attorney,13
Female,Legal,"Executive Assistant",17
Female,Legal,"Legal Assistant",12
Female,Legal,Librarian,8
Female,Legal,Paralegal,31
Female,Legal,"Research Assistant",12
Female,Legal,"Senior Attorney",14
Female,Marketing,"Administrative Assistant II",3
Female,Marketing,Editor,44
Female,Marketing,"Graphic Designer",8
Female,Marketing,"Marketing Assistant",4
Female,Marketing,"Marketing Manager",1
Female,Marketing,"Media Manager I",48
Female,Marketing,"Media Manager II",20
Female,Marketing,"Office Assistant I",4
