jobtitle,count
"Account Coordinator",2
"Account Executive",436
"Account Manager",193
"Accountant I",69
"Accountant II",78
"Accountant III",73
"Accountant IV",77
"Accounting Assistant I",78
"Accounting Assistant II",74
"Accounting Assistant III",58
"Accounting Assistant IV",84
Actuary,26
"Administrative Assistant",34
"Administrative Assistant I",179
"Administrative Assistant II",40
"Administrative Assistant III",13
"Administrative Assistant IV",7
"Administrative Officer",51
"Analog Circuit Design manager",42
"Analyst Programmer",324
"Assistant Manager",39
"Assistant Professor",1
"Assistant Trainer",163
"Associate Professor",1
Attorney,37
"Automation Specialist I",23
"Automation Specialist II",28
"Automation Specialist III",13
"Automation Specialist IV",15
"Budget/Accounting Analyst I",136
"Budget/Accounting Analyst II",141
"Budget/Accounting Analyst III",148
"Budget/Accounting Analyst IV",159
"Business Analyst",637
"Business Development Manager",5
"Business Systems Development Analyst",297
"Chief Design Engineer",81
"Community Outreach Specialist",24
"Compensation Analyst",28
"Computer Systems Analyst I",80
"Computer Systems Analyst II",85
"Computer Systems Analyst III",66
"Computer Systems Analyst IV",64
"Content Developer",52
"Content Developer II",47
"Content Developer III",46
"Cost Accountant",261
"Customer Success Manager",183
"Data Coordiator",318
"Data Visualization Specialist",391
"Database Administrator I",77
"Database Administrator II",79
"Database Administrator III",74
"Database Administrator IV",70
"Design Engineer",45
"Desktop Support Technician",283
"Developer I",73
"Developer II",60
"Developer III",73
"Developer IV",66
"Director of Sales",8
Editor,85
"Electrical Engineer",26
"Engineer I",9
"Engineer II",6
"Engineer III",4
"Engineer IV",1
"Executive Assistant",38
"Executive Secretary",2
"Financial Advisor",26
"Financial Analyst",61
"General Manager",32
"Graphic Designer",11
"Help Desk Operator",78
"Help Desk Technician",298
"HR Manager",181
"Human Resources Analyst",363
"Human Resources Analyst II",551
"Human Resources Assistant I",14
"Human Resources Assistant II",9
"Human Resources Assistant III",13
"Human Resources Assistant IV",11
"Human Resources Manager",54
"Information Systems Manager",34
"Internal Auditor",47
"Junior Trainer",161
"Legal Assistant",17
Librarian,25
"Marketing Assistant",8
"Marketing Manager",1
"Mechanical Systems Engineer",26
"Media Manager I",115
"Media Manager II",41
"Office Assistant I",6
"Office Assistant II",1
"Office Assistant IV",1
Operator,196
Paralegal,57
"Payment Adjustment Coordinator",23
"Pre-Sales Consultant",195
"Product Engineer",51
"Programmer Analyst I",77
"Programmer Analyst II",83
"Programmer Analyst III",72
"Programmer Analyst IV",62
"Programmer I",77
"Programmer II",71
"Programmer III",70
"Programmer IV",59
"Project Manager",305
"Quality Control Specialist",123
"Quality Engineer",58
Recruiter,208
"Recruiting Manager",21
"Relationshiop Manager",188
"Research Assistant",38
"Research Assistant I",458
"Research Assistant II",664
"Research Assistant III",16
"Research Assistant IV",6
"Research Associate",185
"Sales Associate",5
"Sales Representative",5
"Senior Attorney",34
"Senior Cost Accountant",278
"Senior Developer",319
"Senior Editor",131
"Senior Financial Analyst",57
"Senior Quality Engineer",141
"Senior Recruiter",177
"Senior Sales Associate",13
"Senior Trainer",166
"Service Coordinator",298
"Service Manager",299
"Service Tech",294
"Service Tech II",292
"Service Tech III",293
"Software Consultant",296
"Software Engineer I",348
"Software Engineer II",75
"Software Engineer III",93
"Software Engineer IV",80
"Software Test Engineer I",74
"Software Test Engineer II",65
"Software Test Engineer III",78
"Software Test Engineer IV",77
"Solutions Engineer",191
"Solutions Engineer Manager",188
"Staff Accountant I",398
"Staff Accountant II",73
"Staff Accountant III",85
"Staff Accountant IV",97
"Staff Scientist",28
"Statistician I",10
"Statistician II",8
"Statistician III",4
"Statistician IV",2
"Structural Analysis Engineer",42
"Structural Engineer",278
"Support Staff",88
"Support Staff II",52
"Support Staff III",18
"Systems Administrator I",341
"Systems Administrator II",63
"Systems Administrator III",75
"Systems Administrator IV",82
"Tax Accountant",280
"Trainer I",160
"Trainer II",166
"Trainer III",162
"Training Manager",161
"VP Accounting",71
"VP Marketing",36
"VP Product Management",35
"VP Quality Control",38
"VP Sales",5
"Web Designer I",30
"Web Designer II",4
"Web Designer III",13
"Web Designer IV",6
"Web Developer I",82
"Web Developer II",64
"Web Developer III",61
"Web Developer IV",60
