department,total_count,termination_count,active_count,a,termination_rate
Accounting,2956,347,2425,347,0.1174
Auditing,47,9,35,9,0.1915
"Business Development",1447,153,1200,153,0.1057
Engineering,5874,707,4839,707,0.1204
"Human Resources",1607,196,1330,196,0.1220
Legal,280,40,224,40,0.1429
Marketing,447,43,383,43,0.0962
"Product Management",578,67,474,67,0.1159
"Research and Development",972,119,781,119,0.1224
Sales,1612,189,1313,189,0.1172
Services,1512,171,1250,171,0.1131
Support,834,102,675,102,0.1223
Training,1513,197,1242,197,0.1302
